,race,count_s,count_hotkey50,count_hotkey40,count_hotkey52,count_hotkey42,count_hotkey10,count_hotkey12,count_hotkey20,count_hotkey22,count_hotkey30,count_hotkey60,count_hotkey62,count_hotkey32,count_Base,count_hotkey70,count_hotkey72,count_hotkey00,count_hotkey90,count_hotkey80,count_SingleMineral,count_hotkey02,count_hotkey82,count_hotkey92,count_hotkey91,count_hotkey01,count_hotkey41,count_hotkey21,count_hotkey71,count_hotkey81,count_hotkey61,count_hotkey11,count_hotkey51,count_hotkey31,first_time_s,first_time_hotkey50,first_time_hotkey40,first_time_hotkey52,first_time_hotkey42,first_time_hotkey10,first_time_hotkey12,first_time_hotkey20,first_time_hotkey22,first_time_hotkey30,first_time_hotkey60,first_time_hotkey62,first_time_hotkey32,first_time_Base,first_time_hotkey70,first_time_hotkey72,first_time_hotkey00,first_time_hotkey90,first_time_hotkey80,first_time_SingleMineral,first_time_hotkey02,first_time_hotkey82,first_time_hotkey92,first_time_hotkey91,first_time_hotkey01,first_time_hotkey41,first_time_hotkey21,first_time_hotkey71,first_time_hotkey81,first_time_hotkey61,first_time_hotkey11,first_time_hotkey51,first_time_hotkey31,relative_line_position,avg_micro_apm,max_ap5s
10,0,6,1,4,0,0,1,0,51,3,39,771,6,4,277,0,3,843,1,2,32,2,1,22,0,0,0,3,0,6,0,0,0,587,0,710,45,6999,7000,275,7000,295,250,295,260,45,685,45,7000,0,10,120,300,175,120,850,765,7000,7000,6999,400,6999,400,7000,6999,7000,0,0,2179,26
11,0,12,3,2,0,59,34,1,331,13,0,109,6,0,269,3,0,274,0,0,0,0,0,0,0,0,0,1,0,4,1,0,15,441,0,1005,290,6999,325,40,440,40,150,7000,150,5,7000,5,75,7000,80,7000,7000,7000,7000,7000,7000,7000,7000,6999,445,6999,455,685,6999,740,0,0,1461,15
12,0,4,0,0,0,0,15,0,295,9,0,254,2,0,13,3,0,281,1,0,377,0,0,0,1,0,10,0,0,0,0,0,0,233,0,7000,7000,6999,7000,45,7000,45,0,7000,0,170,7000,215,100,7000,100,0,7000,0,7000,7000,7000,320,7000,359,7000,6999,7000,7000,6999,7000,0,0,3190,33
13,2,16,2,1,0,0,7,0,773,16,0,70,2,14,167,5,25,264,2,13,109,0,0,0,1,0,0,1,0,1,0,0,0,2786,235,105,1005,6999,7000,0,7000,5,0,7000,165,190,360,205,45,610,50,730,620,640,7000,7000,7000,1545,7000,6999,115,6999,315,7000,6999,7000,0,0,2037,35
14,2,45,0,3,4,14,22,17,397,23,44,329,10,0,118,3,9,632,1,0,103,1,0,20,1,0,10,3,0,1,0,0,0,1696,0,7000,295,344,315,15,385,15,0,240,5,55,7000,55,0,215,0,115,7000,125,345,7000,355,560,7000,564,870,6999,1125,7000,6999,7000,0,0,2991,54
15,0,47,1,5,0,62,166,0,733,96,0,445,9,0,304,4,0,118,1,0,229,2,0,138,0,0,0,1,0,0,5,0,0,842,0,740,0,6999,330,0,7000,5,5,7000,5,205,7000,240,265,7000,290,0,7000,35,120,7000,125,7000,7000,6999,855,6999,7000,0,6999,7000,0,0,1798,18
16,0,13,0,1,0,0,27,0,226,2,0,29,2,0,343,7,0,236,2,0,40,1,0,0,1,0,0,1,0,0,1,0,0,258,0,7000,0,6999,7000,0,7000,15,0,7000,340,0,7000,5,0,7000,60,0,7000,235,0,7000,7000,0,7000,6999,0,6999,7000,0,6999,7000,0,0,2321,27
17,1,0,0,2,0,33,10,0,297,14,0,139,1,0,560,4,0,440,1,0,220,0,0,0,0,0,0,0,0,0,1,0,58,591,7000,7000,0,6999,225,50,7000,55,50,7000,55,0,7000,5,95,7000,95,315,7000,315,7000,7000,7000,7000,7000,6999,7000,6999,7000,225,6999,225,0,0,2846,37
18,0,46,4,3,0,36,22,0,167,12,0,148,2,0,297,7,0,162,3,0,49,1,0,10,0,0,0,0,0,0,2,0,1,409,0,20,0,6999,385,95,7000,125,260,7000,260,0,7000,15,100,7000,120,170,7000,205,530,7000,555,7000,7000,6999,7000,6999,7000,290,6999,390,0,0,1724,18
19,0,20,0,0,1,0,1,0,368,43,0,413,7,0,120,3,0,97,2,0,37,1,0,0,0,0,0,0,0,0,0,1,0,205,0,7000,7000,14,7000,5,7000,10,5,7000,10,275,7000,275,50,7000,55,170,7000,185,170,7000,7000,7000,7000,6999,7000,6999,7000,7000,14,7000,0,0,2004,29
20,2,26,0,0,0,0,5,15,152,7,0,43,2,0,2,4,3,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,0,7000,7000,6999,7000,0,420,40,45,7000,55,330,7000,400,0,70,5,7000,7000,7000,7000,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,2402,29
21,0,11,0,1,0,22,37,0,157,2,0,158,6,0,116,2,0,1,3,0,702,5,0,460,1,0,17,0,0,0,2,0,11,409,0,7000,405,6999,460,600,7000,600,40,7000,40,85,7000,415,0,7000,710,0,7000,5,0,7000,195,325,7000,349,7000,6999,7000,145,6999,150,0,0,2258,38
22,1,0,8,0,0,0,0,9,325,1,4,217,5,1,42,2,2,75,1,1,14,0,1,0,0,1,0,0,0,0,0,0,0,878,7000,20,7000,6999,7000,7000,0,5,95,0,30,50,0,50,725,0,65,725,0,845,7000,0,7000,7000,0,6999,7000,6999,7000,7000,6999,7000,0,0,1212,28
23,2,14,0,0,4,117,17,15,574,15,21,239,1,0,62,4,0,208,1,0,265,1,0,24,2,0,2,0,0,0,0,0,0,1246,130,7000,7000,4,135,0,265,50,55,555,55,170,7000,175,50,7000,55,0,7000,5,115,7000,120,380,7000,399,7000,6999,7000,7000,6999,7000,0,0,2760,46
24,0,36,0,0,0,0,80,0,308,1,0,0,4,0,73,5,0,468,7,0,367,2,0,90,0,0,0,0,0,0,0,0,0,813,0,7000,7000,6999,7000,310,7000,310,1730,7000,7000,0,7000,5,50,7000,55,5,7000,5,365,7000,425,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,1311,21
25,2,9,1,2,0,0,54,2,63,21,1,32,6,0,13,1,0,3,4,0,77,4,0,510,1,0,0,1,2,19,0,0,0,1227,160,840,515,6999,7000,205,920,205,295,720,300,115,7000,115,300,7000,300,245,7000,265,5,7000,10,965,7000,6999,5,49,40,7000,6999,7000,0,0,2006,20
26,0,9,0,0,0,0,22,0,219,8,0,39,3,0,277,3,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,7000,7000,6999,7000,40,7000,40,185,7000,260,5,7000,5,95,7000,95,7000,7000,7000,7000,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,1739,17
27,0,5,0,1,0,0,12,10,326,2,0,34,2,2,266,1,0,7,1,1,434,0,0,0,0,0,0,1,0,0,2,0,0,358,0,7000,300,6999,7000,10,325,10,225,7000,225,50,320,50,570,7000,620,0,255,10,7000,7000,7000,7000,7000,6999,275,6999,7000,165,6999,7000,0,0,2399,36
28,0,10,1,2,0,0,54,0,194,31,0,85,4,0,179,5,0,39,1,0,258,1,0,27,0,0,0,1,0,0,2,0,0,253,0,360,0,6999,7000,0,7000,5,5,7000,5,95,7000,100,165,7000,165,0,7000,50,485,7000,490,7000,7000,6999,285,6999,7000,0,6999,7000,0,0,1989,24
29,1,0,18,0,0,0,36,0,736,6,0,751,5,0,208,5,0,113,3,0,113,7,0,105,6,0,63,3,0,10,0,0,0,616,7000,20,7000,6999,7000,0,7000,0,0,7000,0,50,7000,110,50,7000,220,50,7000,315,50,7000,300,50,7000,454,50,6999,725,7000,6999,7000,0,0,2781,37
30,0,39,1,1,3,2,22,36,328,26,1,265,12,0,44,4,0,56,1,4,183,1,0,6,2,0,1,1,0,3,3,0,39,716,0,180,210,464,515,350,445,350,35,1575,40,30,7000,130,30,7000,210,0,215,20,435,7000,480,435,7000,1254,255,6999,980,910,6999,955,0,0,1092,11
31,2,25,1,0,0,0,28,17,507,10,13,365,6,0,194,1,5,1007,2,3,129,0,0,0,0,0,0,0,0,0,0,0,0,1490,125,805,7000,6999,7000,130,665,130,0,595,0,25,7000,25,0,125,0,290,425,295,7000,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,2933,31
32,0,42,0,2,1,33,16,5,513,7,0,174,4,0,0,4,0,385,2,0,95,0,0,0,0,0,0,0,0,0,2,0,3,317,0,7000,0,464,260,0,440,5,40,7000,40,40,7000,7000,100,7000,100,175,7000,185,7000,7000,7000,7000,7000,6999,7000,6999,7000,0,6999,420,0,0,2166,26
33,2,9,1,0,0,0,7,29,281,14,3,160,6,0,153,2,0,149,1,0,522,1,0,132,1,0,4,1,0,0,0,0,0,813,120,375,7000,6999,7000,220,440,225,0,600,20,0,7000,5,125,7000,130,0,7000,5,100,7000,105,420,7000,419,420,6999,7000,7000,6999,7000,0,0,3057,30
34,0,25,5,0,0,0,1,0,431,33,0,329,5,0,363,5,0,314,1,0,109,2,0,54,1,0,43,0,0,0,0,0,0,580,0,10,7000,6999,7000,0,7000,0,0,7000,5,0,7000,5,135,7000,140,250,7000,250,0,7000,310,355,7000,409,7000,6999,7000,7000,6999,7000,0,0,2338,34
35,2,31,0,0,0,0,46,0,555,1,0,21,2,0,16,0,0,0,4,0,699,0,0,0,0,0,0,0,0,0,0,0,0,1397,155,7000,7000,6999,7000,55,7000,55,0,7000,0,135,7000,140,7000,7000,7000,0,7000,0,7000,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,3039,27
36,2,11,2,10,0,771,20,35,483,24,10,177,2,0,7,0,0,0,0,0,0,4,0,927,1,0,12,0,0,0,4,0,42,1127,155,115,0,6999,5,0,630,60,45,775,45,190,7000,205,7000,7000,7000,7000,7000,7000,0,7000,5,360,7000,359,7000,6999,7000,0,6999,60,0,0,3625,43
37,0,3,0,1,0,0,22,0,190,2,0,8,1,0,302,5,0,227,2,0,23,1,0,0,1,0,0,1,0,0,1,0,0,153,0,7000,0,6999,7000,0,7000,20,0,7000,255,0,7000,5,0,7000,55,0,7000,180,0,7000,7000,0,7000,6999,0,6999,7000,0,6999,7000,0,0,2467,31
38,0,19,3,0,0,0,1,0,1616,7,0,171,9,0,159,83,14,1639,7,0,175,2,0,63,3,3,116,3,3,0,0,0,0,1162,0,615,7000,6999,7000,0,7000,0,0,7000,65,0,7000,5,5,870,25,5,7000,375,420,7000,420,0,215,64,0,214,7000,7000,6999,7000,0,0,3135,30
39,2,16,0,0,0,0,5,23,316,3,1,43,2,7,423,7,13,320,1,7,716,1,0,19,1,0,5,0,0,0,0,0,0,1342,330,7000,7000,6999,7000,145,390,145,310,490,310,0,280,5,50,675,50,0,155,5,115,7000,115,530,7000,604,7000,6999,7000,7000,6999,7000,0,0,2773,40
40,0,109,0,2,0,14,58,6,1054,16,0,219,15,0,852,11,0,392,3,0,200,5,0,146,3,0,16,1,0,0,1,0,0,813,0,7000,0,6999,300,0,930,5,0,7000,205,0,7000,85,0,7000,100,0,7000,100,0,7000,230,0,7000,659,0,6999,7000,0,6999,7000,0,0,2447,31
41,0,16,0,2,0,2,60,0,413,65,0,136,4,0,223,3,0,65,3,0,216,1,0,42,1,0,0,3,0,0,2,0,0,335,0,7000,0,6999,850,0,7000,5,5,7000,15,95,7000,95,165,7000,165,0,7000,100,605,7000,630,680,7000,6999,360,6999,7000,0,6999,7000,0,0,1919,19
42,1,0,2,1,0,0,75,0,54,8,0,206,1,0,111,8,0,163,2,0,48,0,0,0,2,1,36,0,0,0,2,0,4,532,7000,75,0,6999,7000,0,7000,10,0,7000,5,0,7000,5,165,7000,170,450,7000,505,7000,7000,7000,0,135,139,7000,6999,7000,135,6999,395,0,0,1918,33
43,1,1,1,1,2,62,27,13,386,32,0,93,10,1,291,4,0,218,1,2,87,2,0,45,2,1,48,1,0,80,1,0,88,452,495,950,0,299,230,90,455,95,90,7000,295,0,1045,0,95,7000,95,295,730,310,0,7000,415,380,705,389,300,6999,310,230,6999,230,0,0,1747,25
44,2,8,3,2,0,34,15,12,86,23,4,155,17,2,104,1,0,297,1,0,368,2,0,105,0,0,0,0,0,0,0,0,0,477,130,50,140,6999,140,380,475,455,235,480,250,235,310,310,120,7000,120,0,7000,0,0,7000,0,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,2485,22
45,2,19,0,0,0,0,33,30,851,8,11,166,2,5,499,1,5,1141,2,15,83,0,0,0,0,0,0,0,0,0,0,0,0,1385,120,7000,7000,6999,7000,0,250,10,30,1030,30,0,280,0,0,125,0,575,585,595,7000,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,2754,33
46,0,58,3,0,0,0,19,0,272,21,0,277,0,0,0,3,0,766,5,0,454,2,0,209,0,0,0,1,0,12,0,0,0,436,0,35,7000,6999,7000,0,7000,0,45,7000,50,7000,7000,7000,0,7000,0,160,7000,160,315,7000,320,7000,7000,6999,325,6999,335,7000,6999,7000,0,0,2424,30
47,1,0,1,1,2,66,28,15,303,40,1,29,9,3,308,4,0,258,2,0,73,2,0,46,3,1,36,2,0,52,2,0,97,399,7000,280,0,309,230,0,390,55,0,840,290,0,850,5,0,7000,95,0,7000,290,0,7000,445,0,740,364,0,6999,315,0,6999,230,0,0,1954,31
48,0,54,3,0,0,0,13,0,137,1,0,81,1,0,266,29,0,95,2,0,156,2,0,10,0,0,0,0,0,0,1,0,0,313,0,30,7000,6999,7000,245,7000,245,310,7000,315,0,7000,10,5,7000,10,105,7000,105,180,7000,190,7000,7000,6999,7000,6999,7000,280,6999,7000,0,0,2238,36
49,2,17,0,0,0,0,10,30,279,6,1,159,4,0,166,2,0,137,1,0,509,1,0,126,1,0,4,1,0,0,0,0,0,794,150,7000,7000,6999,7000,205,465,210,0,485,95,0,7000,5,150,7000,155,0,7000,5,130,7000,130,355,7000,364,355,6999,7000,7000,6999,7000,0,0,2938,36
50,1,0,2,1,0,5,88,0,216,10,0,170,1,0,98,5,0,259,3,0,129,2,0,120,3,2,78,1,0,10,2,0,10,853,7000,490,0,6999,925,0,7000,15,0,7000,0,0,7000,20,85,7000,125,310,7000,315,310,7000,320,0,240,344,770,6999,770,215,6999,240,0,0,1702,43
51,0,57,0,3,0,21,1,0,326,46,0,496,62,0,393,5,0,491,1,0,64,0,0,0,0,0,0,0,0,0,3,0,65,577,0,7000,0,6999,630,0,7000,0,0,7000,115,0,7000,5,220,7000,225,330,7000,335,7000,7000,7000,7000,7000,6999,7000,6999,7000,0,6999,285,0,0,2603,34
52,0,2,9,0,0,0,30,0,374,3,0,52,4,0,397,1,0,788,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,420,0,35,7000,6999,7000,0,7000,0,165,7000,165,45,7000,45,0,7000,0,7000,7000,7000,170,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,3190,25
53,1,0,1,1,0,0,27,0,183,17,0,133,2,0,394,6,0,450,4,0,69,2,0,5,1,0,0,3,0,25,2,0,0,715,7000,170,5,6999,7000,5,7000,185,5,7000,140,5,7000,10,5,7000,20,5,7000,225,5,7000,530,5,7000,6999,5,6999,360,5,6999,7000,0,0,2140,23
54,2,13,1,0,0,0,18,5,243,7,1,192,1,0,37,1,1,402,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,550,0,425,7000,6999,7000,155,325,155,0,545,0,100,7000,100,0,465,0,225,7000,230,7000,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,2610,28
55,2,110,3,6,2,17,27,9,223,11,12,90,1,6,15,1,4,320,2,1,16,1,0,5,1,0,0,0,0,0,0,0,0,1563,125,60,335,469,450,45,990,85,0,915,0,50,225,55,0,125,0,110,635,110,340,7000,350,920,7000,6999,7000,6999,7000,7000,6999,7000,0,0,2094,32
56,2,10,0,0,0,0,18,26,435,8,3,253,1,0,188,1,2,848,0,2,65,0,0,0,0,0,0,0,0,0,0,0,0,886,150,7000,7000,6999,7000,175,395,175,0,525,0,40,7000,40,0,150,0,7000,290,315,7000,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,3181,34
57,1,2,16,3,0,40,44,1,508,26,0,92,1,0,462,1,0,1,6,0,262,1,0,35,1,0,23,2,0,5,1,0,4,594,235,15,5,6999,375,5,825,55,5,7000,165,5,7000,5,5,7000,350,95,7000,95,270,7000,340,535,7000,534,5,6999,355,5,6999,520,0,0,2350,39
58,1,0,13,2,0,0,1,0,488,47,0,779,13,0,289,6,0,827,4,2,201,2,2,37,1,2,72,2,3,15,1,0,0,858,7000,25,5,6999,7000,0,7000,0,5,7000,35,5,7000,215,5,7000,15,5,685,240,5,230,295,5,230,294,5,229,505,5,6999,7000,0,0,2798,34
59,0,10,0,1,0,0,23,0,336,11,0,176,1,0,245,8,0,226,5,0,78,2,0,12,1,2,22,0,0,0,1,0,0,400,0,7000,0,6999,7000,0,7000,5,95,7000,100,0,7000,40,95,7000,105,130,7000,200,130,7000,205,0,445,444,7000,6999,7000,450,6999,7000,0,0,1823,24
60,0,7,0,0,0,0,46,0,555,10,0,436,3,0,34,3,0,465,3,0,656,0,0,0,2,0,25,0,0,0,0,0,0,381,0,7000,7000,6999,7000,45,7000,95,0,7000,0,160,7000,170,90,7000,95,0,7000,0,7000,7000,7000,245,7000,244,7000,6999,7000,7000,6999,7000,0,0,2628,36
61,2,5,0,0,3,55,18,17,557,41,0,94,5,0,103,3,2,189,1,0,525,1,0,233,1,1,62,0,1,0,0,1,1,626,155,7000,7000,159,260,0,620,0,0,7000,0,25,7000,30,30,755,30,0,7000,50,130,7000,130,245,160,159,7000,159,7000,7000,159,400,0,0,3008,29
62,0,38,0,1,0,0,30,0,370,11,0,151,1,0,198,5,0,248,1,0,15,1,0,0,1,2,49,1,0,1,1,0,1,404,0,7000,0,6999,7000,0,7000,5,150,7000,150,0,7000,35,195,7000,195,270,7000,275,305,7000,7000,0,200,199,455,6999,845,200,6999,330,0,0,1825,21
63,0,17,0,0,1,0,3,0,304,18,0,276,2,0,29,4,0,92,2,0,23,2,0,0,0,0,0,0,0,0,0,1,0,125,0,7000,7000,4,7000,0,7000,0,5,7000,10,270,7000,275,50,7000,60,170,7000,180,170,7000,7000,7000,7000,6999,7000,6999,7000,7000,4,7000,0,0,2150,24
64,0,13,0,3,0,407,30,0,245,20,0,114,6,0,238,5,0,72,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,340,0,7000,0,6999,20,130,7000,130,45,7000,45,15,7000,170,15,7000,265,15,7000,7000,15,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,1615,22
65,2,63,1,0,0,0,34,1,334,34,11,445,6,3,295,6,0,224,1,0,491,4,0,232,2,0,121,0,0,0,0,0,0,1819,150,1850,7000,6999,7000,5,430,15,0,800,5,0,1485,40,0,7000,150,0,7000,5,5,7000,155,300,7000,349,7000,6999,7000,7000,6999,7000,0,0,2364,25
66,2,11,0,1,3,145,7,0,217,7,40,511,2,0,77,2,0,3,1,0,815,2,0,169,2,0,87,2,0,7,1,0,0,940,155,7000,5,159,160,5,7000,5,0,435,20,5,7000,20,5,7000,195,5,7000,10,5,7000,20,5,7000,219,5,6999,735,5,6999,7000,0,0,3326,30
67,2,47,30,4,0,20,31,1,330,23,0,281,1,0,342,4,0,200,1,0,1,1,0,0,2,0,0,1,0,0,3,0,0,1027,125,15,0,6999,125,0,590,55,0,7000,5,0,7000,5,100,7000,105,520,7000,770,0,7000,7000,100,7000,6999,520,6999,7000,0,6999,7000,0,0,1791,41
68,0,59,3,0,1,0,3,0,492,34,0,411,8,0,180,5,0,148,5,0,51,1,0,4,0,0,0,0,0,0,0,1,0,297,0,75,7000,4,7000,0,7000,10,10,7000,10,255,7000,260,45,7000,65,175,7000,215,245,7000,610,7000,7000,6999,7000,6999,7000,7000,4,7000,0,0,2090,29
69,0,5,2,0,0,0,11,19,425,7,2,38,2,1,350,1,0,12,1,1,622,0,0,0,1,0,4,1,0,4,2,0,1,455,0,20,7000,6999,7000,0,315,0,275,730,280,50,335,50,355,7000,355,0,635,0,7000,7000,7000,450,7000,459,275,6999,560,200,6999,310,0,0,2497,40
70,2,11,0,0,0,0,9,0,138,3,0,62,1,0,63,1,0,337,2,0,58,1,0,0,0,0,0,4,0,77,0,0,0,522,160,7000,7000,6999,7000,65,7000,75,55,7000,95,0,7000,5,0,7000,5,150,7000,150,620,7000,7000,7000,7000,6999,160,6999,180,7000,6999,7000,0,0,1963,33
71,2,11,1,0,0,0,34,0,461,3,0,34,4,0,18,0,0,0,4,0,506,0,0,0,0,0,0,0,0,0,0,0,0,932,150,110,7000,6999,7000,55,7000,55,0,7000,0,130,7000,135,7000,7000,7000,0,7000,0,7000,7000,7000,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,2838,26
72,1,0,2,3,0,31,1,0,438,24,0,249,12,0,126,6,0,199,4,0,94,2,0,62,3,0,3,2,0,8,2,0,16,456,7000,620,0,6999,340,0,7000,5,0,7000,45,0,7000,100,0,7000,90,0,7000,290,0,7000,335,0,7000,569,0,6999,570,0,6999,340,0,0,2417,34
73,2,16,1,0,0,0,40,29,206,12,0,186,1,0,11,1,0,287,2,0,115,4,0,41,4,0,90,1,0,2,0,0,0,661,130,410,7000,6999,7000,45,395,75,0,7000,0,55,7000,60,0,7000,0,125,7000,125,215,7000,235,130,7000,139,510,6999,515,7000,6999,7000,0,0,2447,26
74,2,14,1,3,0,48,3,0,12,48,65,359,27,10,163,1,0,442,2,0,519,3,1,293,1,0,19,0,0,0,0,0,0,1248,150,145,155,6999,160,510,7000,515,180,440,195,185,1000,235,135,7000,135,0,7000,0,0,760,0,745,7000,779,7000,6999,7000,7000,6999,7000,0,0,2921,29
75,1,0,12,1,0,0,22,0,93,4,0,2,1,0,716,3,0,305,10,0,337,2,0,5,1,0,0,2,0,1,3,0,14,516,7000,345,0,6999,7000,0,7000,165,0,7000,440,0,7000,5,0,7000,120,0,7000,15,0,7000,385,0,7000,6999,0,6999,565,0,6999,565,0,0,2876,27
76,2,42,1,1,0,0,8,1,27,2,0,28,1,0,76,1,0,48,1,1,123,3,0,10,2,0,0,2,0,0,1,0,0,298,0,35,10,6999,7000,25,230,30,190,7000,195,5,7000,10,45,7000,45,5,130,5,10,7000,115,10,7000,6999,10,6999,7000,45,6999,7000,0,0,2611,31
77,1,0,1,2,0,29,26,11,358,0,3,588,9,0,48,2,1,513,0,2,112,0,1,46,1,1,7,0,1,1,0,0,0,564,7000,585,190,6999,190,50,490,50,7000,0,0,145,7000,145,120,640,125,7000,185,200,7000,245,245,585,785,629,7000,784,890,7000,6999,7000,0,0,2571,28
78,2,30,0,1,0,1,5,0,450,9,0,45,5,28,137,1,0,14,1,6,66,0,0,0,1,0,0,1,0,1,1,0,0,1276,125,7000,675,6999,805,0,7000,10,0,7000,160,110,225,120,50,7000,55,745,785,785,7000,7000,7000,725,7000,6999,155,6999,255,725,6999,7000,0,0,2196,38
79,2,11,0,0,0,0,46,17,260,14,4,217,1,0,24,1,0,228,1,0,94,1,0,33,2,0,4,4,0,79,0,0,0,1092,125,7000,7000,6999,7000,60,275,80,0,530,5,55,7000,55,5,7000,5,100,7000,100,145,7000,170,145,7000,504,180,6999,185,7000,6999,7000,0,0,1968,23
80,0,75,0,2,0,9,20,0,213,83,0,679,30,0,277,5,0,266,2,0,118,0,0,0,0,0,0,0,0,0,4,0,80,665,0,7000,375,6999,925,10,7000,10,0,7000,5,95,7000,120,95,7000,95,165,7000,185,7000,7000,7000,7000,7000,6999,7000,6999,7000,0,6999,315,0,0,1900,20
